,courseNum,courseName,description
146,EN60143501,Approximation Algorithms,"This course provides an introduction to approximation  algorithms. Topics include vertex cover, TSP, Steiner trees, cuts, greedy approach, linear and semi-definite programming, primal-dual method, and randomization.   Additional topics will be covered as time permits.  There will be a final project.  Students may receive credit for EN.601.435 or EN.601.635, but not both.  [Analysis]"
147,EN55344201,Investment Science,"This course offers a rigorous treatment of the subject of investment as a scientific discipline. Mathematics is employed as the main tool to convey the principles of investment science and their use to make investment calculations for good decision-making. Topics covered in the course include the basic theory of interest and its application to fixed-income securities, cash flow analysis and capital budgeting, mean-variance portfolio theory, and the associated capital asset pricing model, utility function theory and risk analysis, derivative securities and basic option theory, portfolio evaluation. The student is expected to be comfortable with the use of mathematics as a method of deduction and problem solving. 
Students may not receive credit for both EN.550.342 and EN.553.442"
148,EN53042401,Dynamics of Robots and Spacecraft,"An introduction to Lagrangian mechanics with application to robot and spacecraft dynamics and control. Topics include rigid body kinematics, efficient formulation of equations of motion, stability theory, and Hamilton's principle."
149,EN53042101,Mechatronics,"Students from various engineering disciplines are divided into groups of two to three students. These groups each develop a microprocessor-controlled electromechanical device, such as a mobile robot. The devices compete against each other in a final design competition. Topics for competition vary from year to year. Class instruction includes fundamentals of mechanism kinematics, creativity in the design process, an overview of motors and sensors, and interfacing and programming microprocessors."
150,EN53048301,Applied Computational Modeling in Aerodynamics and Heat Transfer,"Introduction to fundamental principles and applications of the computational modeling in fluid dynamics and heat transfer. Emphasis is on basics of finite-difference methods and hands-on experience in code development as well as the use of a commercial software package (ANSYS CFX) for modeling and simulation. Students will also learn about meshing strategies, post-processing, and critical analysis of simulation results. The concept of numerical errors and the validation and verification will also be emphasized.
Recommended Background:
(1) Undergraduate or introductory level course in fluid dynamics or heat transfer or transport phenomena or classical mechanics.
(2) Basic expertise in writing computer codes (MATLAB or C++ or Fortran or Python)."
151,EN58043301,Introduction to Computational Medicine: The Physiome,"Computational medicine is an emerging discipline in which computer models of disease are developed, constrained using data measured from individual patients, and then applied to deliver precision health care. Computational physiological medicine: develops computational models of disease at the cellular, tissue, organ, and organism level; develops methods for constraining these models using patient data; applies these models to better treat patients. Students will learn how to: use biophysical laws and data to formulate computational models of physiological systems in health and disease; analyze the behaviors of these models using analytical and simulation approaches; apply models to understand their use in diagnosing and treating disease. Class time will emphasize hands-on learning through data analysis, software development, and simulation. All instructional materials will be made available at the beginning of the course. 

Recommended Course Background: C++, Matlab or Python."
152,EN55349301,Mathematical Image Analysis,"This course gives an overview of various mathematical methods related to several problems encountered in image processing and analysis, and presents numerical schemes to address them. It will focus on problems like image denoising and deblurring, contrast enhancement, segmentation and registration. The different mathematical concepts shall be introduced during the course; they include in particular functional spaces such as Sobolev and BV, Fourier and wavelet transforms, as well as some notions from convex optimization and numerical analysis. Most of such methods will be illustrated with algorithms and simulations on discrete images, using MATLAB. Prerequisites : linear algebra, multivariate calculus, basic programming in MATLAB. 
Recommended Course Background: Real analysis"
153,EN53031001,Reverse Engineering and Diagnostics,"We will disassemble, inspect, diagnose, reverse engineer, repair (if needed) and test the subsystems of the first modern tractor, the iconic Ford N series (9N, 2N or 8N). The systems include power, cooling, electrical, ignition, hydraulic, transmission, steering, fuel, control (governor) and braking. The course is not about tractor repair, but upon successful completion, you will know the tractor’s design and function, inside and out and you will be empowered with the confidence to understand and diagnose mechanical systems. Lessons learned will be applicable to other areas of mechanical engineering and will be particularly helpful for Senior Design. We will analyze (reverse engineer) the tractor. For example, given the engine delivers 28 HP at the PTO, how big does the PTO shaft need to be? How big is it? Over/under designed? How was it manufactured? How else could it have been manufactured. What size engine delivers 28 Hp? What fuel consumption is needed? What cooling capacity is needed? Answering such questions will prepare students to ask appropriate questions in senior design. How big/strong do we need to make it? We will also have a functioning N-series tractor that will be ‘sabotaged’ each week for students to test their logic skills at diagnosing the cause of the malfunction. 

Course goals include developing diagnostic skills, learning to read electrical and hydraulic schematics and assembly drawings, developing engineering intuition and applying theoretical knowledge to practical problems. No mechanical experience is needed. Students with the least ‘hands on’ background will have the most to benefit, but even BAJA members have much to gain."
154,EN60146401,Artificial Intelligence,"The class is recommended for all scientists and engineers with a genuine curiosity about the fundamental obstacles to getting machines to perform tasks such as learning, planning and prediction.  Materials will be primarily based on the popular textbook, Artificial Intelligence: A Modern Approach.  Strong programming skills are expected, as well as basic familiarity with probability. For students intending to also take courses in Machine Learning (e.g., 601.475/675,
601.476/676), they may find it beneficial to take this course first, or concurrently.  [Applications]"
155,EN60144001,Web Security,"This course begins with reviewing basic knowledge of the World Wide Web, and then exploring the central defense concepts behind Web security, such as same-origin policy, cross-origin resource sharing, and browser sandboxing.  It will cover the most popular Web vulnerabilities, such as cross-site scripting (XSS) and SQL injection, as well as how to attack and penetrate software with such vulnerabilities. Students will learn how to detect, respond, and recover from security incidents. Newly proposed research techniques will also be discussed. [Systems]"
156,EN55317101,Discrete Mathematics,"Introduction to the mathematics of finite systems. Logic; Boolean algebra; induction and recursion; sets, functions, relations, equivalence, and partially ordered sets; elementary combinatorics; modular arithmetic and the Euclidean algorithm; group theory; permutations and symmetry groups; graph theory. Selected applications. The concept of a proof and development of the ability to recognize and construct proofs are part of the course. Recommended Course Background: Four years of high school mathematics."
157,EN58043001,Systems Pharmacology and Personalized Medicine,"We have moved beyond the 'one-size-fits-all' era of medicine. Individuals are different, their diseases are different, and their responses to drugs are different too. This variability is not just from person to person; heterogeneity is observed even between tumors within the same person, and between sites within the same tumor. These levels of variability among the human population must be accounted for to improve patient outcomes and the efficiency of clinical trials. Some of the ways in which this is being explored include: drugs are being developed hand-in-hand with the tests needed to determine whether or not they will be effective; tumor fragments excised from patients are being cultured in the lab for high-throughput testing of drugs and drug combinations; data-rich assays such as genomics and proteomics identify thousands of potentially significant differences between individuals; and computational models are being used to predict which therapies will work for which patients. This course will focus on the applications of pharmacokinetics and pharmacodynamics to simulating the effects of various drugs across a heterogeneous population of diseased individuals. Such computational approaches are needed to harness and leverage the vast amounts of data and provide insight into the key differences that determine drug responsiveness. These approaches can also explore the temporal dynamics of disease and treatment, and enable the modification of treatment during recovery.

Recommended background: 110.201 Linear Algebra, 110.302 Differential Equations, and 550.311 Probability and Statistics (or equivalent)."
158,EN53038101,Engineering Design Process,"Goal of the course is to teach students the iterative process of design from requirement establishment, to generation of (many) concepts, to decision making and criteria based concept selection. The four C's of design; Creativity, Complexity, Choice, and Compromise will be explored.  The processes of functional decomposition, modeling and simulation and assessment of Risk, Reliability and Safety will be covered.  Modern tools of design and their interfaces with manufacturing and Product Lifecycle Management (PLM) tools will be presented.  Throughout the course teams of students will maintain a record of design process as it relates to a specific term project. The progress of the design will be reported according the principles of project management. This course will equip students with tools needed for success in Senior Design."
159,EN58024601,Systems and Controls,"An introduction to the analysis and synthesis of controllers for linear systems.  topics include LaPlace transforms, input output and state space representations of linear systems, stability, 
observability, controlability, and PID controller design.  Recommended course background: AS.110.201 Linear Algebra, AS.110.302 Differential Equations, or EN.553.291 Linear Algebra and Differential Equations."
160,EN50030901,Advanced Multidisciplinary Design,"Students will continue working on teams with classmates from different engineering disciplines to tackle a challenge for a clinical, community, or industry project partner. Teams will continue to develop their technical and usability prototypes into a final solution as they move closer to the
implementation of their projects."
161,EN53034301,Design and Analysis of Dynamical Systems,"Prereq: 110.108, 110.109, 110.202 and 550.291 or 110.201, and C- or better (or concurrent enrollment) in 530.202 or 560.202
Modeling and analysis of damped and undamped, forced and free vibrations in single and multiple degree-of-freedom linear dynamical systems. Introduction to stability and control of linear dynamical systems."
162,EN50013301,Bootcamp: Python,"This on-line course provides students who have already achieved a basic understanding of programming and computational thinking in one programming language with an opportunity to apply these skills in another programming language. While the course is taught on-line, students are required to take and pass an in-person final exam administered on paper to receive a passing grade. This final will be administered on a date to be determined by the course instructor."
163,EN58047701,Biomedical Data Science Laboratory,"An advanced imaging course with in-depth quantitative coverage of topics central to magnetic resonance imaging, ranging from techniques currently used in the radiology practice to new developments at the cutting edge of MRI research. Topics include: steady-state imaging and contrast mechanisms, MRI simulations, RF pulse and coil design, flow imaging and angiography, cardiac imaging, diffusion imaging, functional MRI, parallel imaging, and high-field imaging. As part of the course, students will be expected to read and understand classic and current literature. The course is taught by a team of experts in the respective fields and will provide an excellent foundation for students interested in deep understanding of magnetic resonance imaging.
Requirements:  Junior/Senior/Grad standing.  Basic physics and mathematics, Matlab, Magnetic Resonance in Medicine (580.476/676)"
164,EN55321101,Probability and Statistics for the Life Sciences,"This is an introduction to statistics aimed at students in the life sciences. The course will provide the necessary background in probability with treatment of independence, Bayes theorem, discrete and continuous random variables and their distributions. The statistical topics covered will include sampling and sampling distributions, confidence intervals and hypothesis testing for means, comparison of populations, analysis of variance, linear regression and correlation. Analysis of data will be done using Excel."
165,EN58048301,Annotate a Genome,"This course provides an intermediate-level introduction to the instrumentation, image processing and reconstruction methods used in planar nuclear medicine imaging, single-photon emission computed tomography (SPECT) and positron emission tomography (PET).  Topics include radioactive decay, nuclear medicine instrumentation including radiation detectors and associated electronics, analytic and statistical iterative tomographic reconstruction, imaging physics, and image quality in the context of these three modalities.  This course will be taught at the School of Medicine Campus.
Recommended Course Background: EN.520.432/EN.580.472 and EN.520.434/EN.580.473"
166,EN58048501,Computational Medicine: Cardiology,"A quantitative, model-oriented investigation of the cardiovascular system. The course will for focus on cardiac electrophysiology, mechanics, and hemodynamics using multi-scale physiology-driven models."
167,EN55341301,Applied Statistics and Data Analysis,"An introduction to basic concepts, techniques, and major computer software packages in applied statistics and data analysis. Topics include numerical descriptive statistics, observations and variables, sampling distributions, statistical inference, linear regression, multiple regression, design of experiments, nonparametric methods, and sample surveys. Real-life data sets are used in lectures and computer assignments. Intensive use of statistical packages such as S+ to analyze data."
168,EN50011101,HEART: Learning to Learn about Epigenetics,"Our subject area is the use of organic and inorganic semiconductors merged together (hybrid materials) to harvest energy without the use of any moving parts.We will begin with discussing the types of materials and their general behaviors  followed by emphasis on the electrical properties of materials. We will then introduce electronic behavior in hybrid materials and at junctions between dissimilar materials, followed by an overview of their application in solid-state electronics with focus on energy-harvesting devices based on the photovoltaic, piezoelectric, and thermoelectric effects. Then we will focus on the thermoelectric effect as a form of energy transfer/transformation (heat to electricity), that will include the conventional understanding of the underlying physics and descriptions of inorganic systems. Following this introduction we delve into current research in the field of polymer-based materials for thermoelectric applications and how such devices are fabricated."
169,EN60149101,Human-Robot Interaction,"This course is designed to introduce advanced students to research methods and topics in human-robot interaction (HRI), an emerging research area focusing on the design and evaluation of interactions between humans and robotic technologies. Students will (1) learn design principles for building and research methods of evaluating interactive robot systems through lectures, readings, and assignments, (2) read and discuss relevant literature to gain sufficient knowledge of various research topics in HRI, and (3) work on a substantial project that integrates the principles, methods, and knowledge learned in this course. [Applications]"
170,EN55344601,Risk Measurement/Management in Financial Markets,"This course applies advanced mathematical techniques to the measurement, analysis, and management of risk.  The focus is on financial risk.  Sources of risk for financial instruments (e.g., market risk, interest rate risk, credit risk) are analyzed; models for these risk factors are studied and the limitation, shortcomings and compensatory techniques are addressed."
171,EN56044501,Advanced Structural Analysis,"Prereq: 560.206  Matrix methods for the analysis of statistically indeterminate structures such as beams, plane and space trusses, and plane and space frames.  Stiffness and flexibility methods.  Linear elastic analysis and introduction to nonlinear analysis."
172,EN55348801,Computing for Applied Mathematics,"This course is aimed for student who need to develop the ability to use programming languages to solve data analytic problems that are likely to arise in financial applications.  The C programming language will be introduced, and students will be exposed to some of the more useful C++ enhancements.  The Python language will be introduced as well.

Students should be comfortable using computers but no prior programming background is required. Some finance background is helpful but not necessary."
173,EN55344101,Equity Markets and Quantitative Trading,This course introduces equity markets from a mathematical point of view.  The properties of equities and equity-linked instruments will be described.  Several quantitative trading strategies will be studied.  Order execution tactics and the effect of market structure will be analyzed.  Students will select a specialized aspect of the equity markets to investigate and complete a related independent project.
174,EN55347101,Combinatorial Analysis,"Counting techniques: generating functions, recurrence relations, Polya’s theorem. Combinatorial designs: Latin squares, finite geometries, balanced incomplete block designs. Emphasis on problem solving. Recommended Course Background: AS.553.291 or AS.110.201"
175,EN55331001,Probability & Statistics for the Physical Sciences & Engineering,"An introduction to probability and statistics at the calculus level, intended for engineering and science students planning to take only one course on the topics. Combinatorial probability, independence, conditional probability, random variables, expectation and moments, limit theory, estimation, confidence intervals, hypothesis testing, tests of means and variances, goodness-of-fit. Recommended co-requisite: multivariable calculus."
176,EN58046001,Epigenetics at the Crossroads of Genes and the Environment,"The course will deal with important problems in cancer and how they can be approached using mathematical and computational modeling. The course will be organized around introductory material describing the biological and clinical problem and the mathematical and computational methodology that will be used for its analysis. This will be followed by analysis of key modeling papers dealing with the problem. An important part of the course will be a computational modeling project (small group or individual) dealing with modeling of cancer in which the students will extend existing models or formulate novel models of cancer, including cancer therapeutics. The students will strive to create models leading to new discoveries."
177,EN58046401,Advanced Data Science for Biomedical Engineering,"This course covers the basics of data science in biomedical engineering. The main topics include, introductory R, data cleaning, reproducible research, basic statistical inference, machine learning and artificial intillegence. Specific topics include: assessing diagnostic accuracy, basic probability, tidy data principles, prediction and data oriented web-app development using R/shiny.  Students taking the course will learn a complete and practical pipeline of going from raw data to a data product.  Suggest course background:  profeciency in basic programming in at least one language, basic calculus, and linear algebra."
178,EN60144501,Practical Cryptographic Systems,"This semester-long course will teach systems and cryptographic design principles by example: by stud-ying and identifying flaws in widely-deployed cryptographic products and protocols. Our focus will be on the techniques used in practical security systems, the mistakes that lead to failure, and the approaches that might have avoided the problem. 
We will place a particular emphasis on the techniques of provable security and the feasibility of reverse-engineering undocumented cryptographic systems.  [Systems]"
179,EN60145201,Computational Biomedical Research,"[Co-listed with AS.020.415] This course for advanced undergraduates  includes classroom instruction in interdisciplinary research   approaches and lab work on an independent research project in the  lab of a Bloomberg Distinguished Professor and other distinguished faculty. Lectures will focus on cross-cutting techniques such as  data visualization, statistical inference, and scientific computing. In addition to two 50-minute classes per week, students  will commit to working approximately 3 hours per week in the lab of one of the professors. The student and professor will work together  to schedule the research project. Students will present their work at a symposium at the end of the semester."
180,EN53034401,Design and Analysis of Dynamical Systems Laboratory,This is the laboratory of the 530.343 Design and Analysis of Dynamical Systems.
181,EN60147501,Machine Learning,"Machine learning is subfield of computer science and artificial intelligence, whose goal is to develop computational systems, methods, and algorithms that can learn from data to improve their performance.  This course introduces the foundational concepts of modern Machine Learning, including core principles, popular algorithms and modeling platforms. This will include both supervised learning, which includes popular algorithms like SVMs, logistic regression, boosting and deep learning, as well as unsupervised learning frameworks, which include Expectation Maximization and graphical models. Homework assignments include a heavy programming components, requiring students to implement several machine learning algorithms in a common learning framework. Additionally, analytical homework questions will explore various machine learning concepts, building on the pre-requisites that include probability, linear algebra, multi-variate calculus and basic optimization. Students in the course will develop a learning system for a final project. [Applications or Analysis] 

Required course background: multivariable calculus, probability, linear algebra."
182,EN58049301,Imaging Instrumentation,"This course is intended to introduce students to imaging instrumentation. The class will be lab-oriented, giving hands-on experience with data collection and processing using a configurable 
optical system. Specific topics will include the programming and control of electromechanical elements, imaging data acquisitions, image formation and processing (e.g. 3D reconstruction), and
imaging system analysis and optimization.
Recommended Course Background: EN.580.222 Systems and Controls or EN.520.214 Signals and Systems.  Programming experience highly desirable."
183,EN58024101,Statistical Physics,"Basic principles of statistical physics and thermodynamics of biological systems.  Topics included quantitative statistical formulation of entropy and its application in thermodynamic optimization
and conversion principles, the Gibbs/Boltzmann distribution, mixing, and phase transitions.
Recommended Background:  AS.110.108-109, AS.030.101-102, AS 171.101-102 or equivalent."
184,EN60147701,Causal Inference,"""Big data"" is not necessarily ""high quality data.""  Systematically missing records, unobserved confounders, and selection effects present in many datasets make it harder than ever to answer scientifically meaningful questions.  This course will teach mathematical tools to help you reason about causes, effects, and bias sources in data with confidence.  We will use graphical causal models, and potential outcomes to formalize what causal effects mean, describe how to express these effects as functions of observed data, and use regression model techniques to estimate them.  We will consider techniques for handling missing values, structure learning algorithms for inferring causal directionality from data, and connections between causal inference and reinforcement learning.  [Analysis]  Pre-requisites: familiarity with the R programming language, multivariate calculus, basics of linear algebra and probability."
185,EN58021201,BME Design Group,
186,EN53023201,Mechanical Engineering Thermodynamics Laboratory,"Co-requisite: 530.231
This course is the complementary laboratory course and a required co-requisite for 530.231 MechE Thermodynamics."
187,EN53046801,Locomotion Mechanics: Fundamentals,"This upper level undergraduate and graduate class will discuss fundamental mechanics of locomotion of both animals and machines, particularly bio-inspired robots. Locomotion emerges from effective physical interaction with an environment; therefore, the ability to generate appropriate forces (besides sensing, control, and planning) is essential to successful locomotion. General principles and integration of knowledge from engineering, biology, and physics will be emphasized. Sample topics include: How can kangaroos hop faster and fleas jump higher than their muscles allow? Why do race walkers use a peculiar hip movement? How do animals inspire prosthetic feet that helped Blade Runner compete with abled athletes? Why do Boston Dynamics’ robots move so well in most modest environments, and why does it still fail in complex terrain? Why do horses walk at low speeds but run at higher speeds? Can T-Rex run or must they walk? Why do larger animals become more erect in their leg posture? Why can a mouse falling from a skyscraper walk away with little injury, but a horse will smash? How can our muscles serve as energy-saving springs, force transmitting struts, and even energy-damping brakes? Why do migrating birds fly in a V-formation? Do Speedo’s sharkskin swimsuits really reduce drag? Students from ME, Robotics, and other programs are all welcome. Freshmen and sophomores with sufficient physics background may take with instructor approval. Students should have a strong understanding of Newtonian mechanics. Nearly all these fundamental studies of interesting biological locomotion phenomena have led to engineering devices that use the same physics principles to move in complex environments, with performance approaching that of animals. Recommended background: Earned B or higher in EN.530.202 (or EN.560.202) Dynamics or equivalent."
188,EN58029801,Advanced Design Projects,"Sophomore-level version of EN.580.498. This independent course will provide project-specific mentorship and guidance for a team to complete a sophisticated prototype and demonstrate technical feasibility towards impacting a clinical problem. Prototyping and testing tools and procedures will be taught and employed on a per-project basis. Documentation of progress through a design history file and course report is required. Teams will be meet biweekly with course faculty through a Desk Review format. Students are expected to work in teams between desk reviews and present progress updates as well as short- and long-term action plans at each desk review. A final presentation is expected at the end of the semester that will involve course faculty as well as a clinical sponsor (called a committee meeting in Design Teams). Additionally, each team must identify a domain expert from the WSE faculty that agrees to attend the final presentation and at least 2 desk reviews. This faculty will focus on guiding and assessing the team’s technical achievements within the context of biomedical instrumentation."
189,EN56042901,Preservation Engineering: Theory and Practice,"The renovation of existing buildings often holds many advantages over new construction, including greater economy, improved sustainability, and the maintenance of engineering heritage and architectural character in our built environment. Yet, the renovation of existing structures presents many challenges to structural engineers. These challenges include structural materials that are no longer in widespread use (e.g., unreinforced masonry arches and vaults, cast iron, and wrought iron) as well as structural materials for which analysis and design practices have changed significantly over the last half-century (e.g., wood, steel, and reinforced concrete).

This course will examine structures made of a wide variety of materials and instruct the student how to evaluate their condition, determine their existing capacity, and design repairs and/or reinforcement. The investigation and analysis procedures learned from this course may then be applied to create economical and durable structural alterations that allow for the reuse of older buildings. Site visits near Homewood campus will supplement lectures."
190,EN53043001,Applied Finite Element Analysis,"This course will introduce finite element methods for analysis of solids, structures and heat transfer problems. Following topics will be considered. Procedure to defining a mechanics problem: governing equations, constitutive equations, boundary and initial value problems. Theory and implementation of the finite element methods for static analysis using linear elasticity. Finite element analysis (FEA) using ABAQUS software. Verification and validation, understanding uncertainty. Introduction to other FEA topics: structural elements, dynamic analysis, heat transfer and thermodynamics using ABAQUS. The course will include assignments and a term project. The term project is mandatory for graduate students and will involve applying FEA to an engineering problem or a research problem, interpretation of results and documenting a term paper."
191,EN56030201,Structural Systems II,"This second course in the two-course structural systems sequence will reinforce the structural design workflow from concept and ideation to structural modeling and analysis to limit states design, but with a focus on the analysis and design of structural systems composed of bending members (e.g. frames). Connections to mechanics-based principles will again be emphasized and practical applications using common structural materials such as timber, steel, and reinforced concrete will be covered."
192,EN58041401,Design Team Leader III,
193,EN58031101,Design Team Health-Tech Project I,"A two-semester course sequence where juniors and seniors work with a team leader and a group of BME freshmen and sophomores, to solve open-ended problems in biomedical engineering. Upperclassmen are expected to apply their general knowledge and experience, and their knowledge in their concentration area, to teach lower classmen and to generate the solution to practical problems encountered in biomedical engineering."
194,EN53048001,Image Processing and Data Visualization,"The course will be divided into two parts. In the first part, students will learn the basics of image processing, including handling noisy background, creating 2D/3D filters, Fourier domain operations, and building processing pipelines . In the second part, students will learn the importance of data visualization, as well as the skills to use the aids such as virtual reality goggles and haptic devices to help scientists gain insights for data interpretation.

Recommended experience programming in Matlab."
195,EN60128001,Full-Stack JavaScript,"A full-stack JavaScript developer is a person who can build modern software applications using primarily the JavaScript programming language. Creating a modern software application involves integrating many technologies - from creating the user interface to saving information in a database and everything else in between and beyond. A full-stack developer is not an expert in everything. Rather, they are someone who is familiar with various (software application) frameworks and the ability to take a concept and turn it into a finished product. This course will teach you programming in JavaScript and introduce you to several JavaScript frameworks that would enable you to build modern web, cross-platform desktop, and native/hybrid mobile applications. A student who successfully completes this course will be on the expedited path to becoming a full-stack JavaScript developer."
196,EN58049701,Advanced Design Projects,"This course will provide project-specific mentorship and guidance for a team to complete a sophisticated prototype and demonstrate technical feasibility towards impacting a clinical problem. Prototyping and testing tools and procedures will be taught and employed on a per-project basis. Documentation of progress through a design history file and course report is required. 

Teams will be meet biweekly with course faculty through a Desk Review format. Students are expected to work in teams between desk reviews and present progress updates as well as short- and long-term action plans at each desk review. A final presentation is expected at the end of the semester that will involve course faculty as well as a clinical sponsor (called a committee meeting in Design Teams). Additionally, each team must identify a domain expert from the WSE faculty that agrees to attend the final presentation and at least 2 desk reviews. This faculty will focus on guiding and assessing the team’s technical achievements within the context of biomedical instrumentation."
197,EN58048901,Modern Optical Microscopy: Theory and Practice,"This course will teach the fundamental theory in optical microscopy, including propagation of eletromagnetic wave, and Fourier optic.  The course will also teach how the theoretical framework is practiced and applied in modern microscopy, by in-class demonstration and hands-on lab projects. Background knowledge: Fourier transform, linear algebra."
198,EN60142401,Reliable Software Systems,"Reliability is an essential quality requirement for all artifacts operating in the real-world, ranging from bridges, cars to power grids. Software systems are no exception. In this computing age when software is transforming even traditional mission-critical artifacts, making sure the software we write is reliable becomes ever more important. This course exposes students to the principles and techniques in building reliable systems. We will study a set of systematic approaches to make software more robust. These include but are not limited to static analysis, testing framework, model checking, symbolic execution, fuzzing, and formal verification. In addition, we will cover the latest research in system reliability."
199,EN56045801,Natural Disaster Risk Modeling,"This course will:
•   Introduce the student to disaster risk modeling process, including: 
-  Structure of catastrophe models. Uses in loss estimation and mitigation.
-   Study and modeling of hazards (esp. hurricanes and earthquakes; also flood, landslide, and volcanic)
-   Vulnerability assessment: simulation of building damage, and estimation of post-disaster injuries and casualties.
-   Exposure modeling (building typology distribution).  
•   Introduction to disaster economic loss modeling:
-   Interpretation of risk metrics (return periods, PML, AAL, VaR, TVaR), their uncertainty, and applicability to management and financial decision making process.
-  Elements of present and future risk: climate and exposure changes.
-   Student will gain introductory experience in the use of GIS and simulation with Matlab."
200,EN56039101,CaSE Careers I,"Civil Engineering Seminar provides students with opportunities to explore the wide range of civil engineering career paths (e.g. consulting, academia, government, industry, and construction) through invited speakers, field trips to design offices / construction sites, and attendance at professional society meetings.  Topics related to engineering ethics, professional licensure, and other professional issues are also discussed."
201,EN58043601,Applied Bioelectrical Engineering II,"The course is offered in two parts, each a half semester long (1.5 credits each). EN.580.435 explores diverse applications of bioelectrical measurements and manipulation in modern engineering practice. Topics include functional electrical stimulation, deep brain stimulation, cardiac pacing and defibrillation, tissue ablation and cancer treatment. The second part of the course, EN.580.436, is optional and will consist of a lab project involving the physical manipulation of cells, mentored by the instructors and carried out by the entire class.
Recommended Course Background: EN.580.421 and EN.580.422."
202,EN50010101,What Is Engineering?,"Freshmen only or Perm. Req'd. 
This is a course of lectures, laboratories, and special projects. Its objective is to introduce students not only to different fields of engineering but also to the analytic tools and techniques that the profession uses. Assignments include hands-on and virtual experiments, oral presentations of product design, and design/construction/testing of structures"
203,EN58015101,Structural Biology of Cells,"Course provides a rigorous foundation in cell structures and pathways relevant to medicine and bioengineering. Interactive lectures will cover molecular components (biological membranes, proteins, DNA, RNA, glycoproteins); electro-chemical gradients across membranes; structure and functions of the cell nucleus and genome; secretory and endocytic pathways; biomechanics, contractility and cell motility; cell adhesions, tissues and the extracellular matrix; signaling structures and networks; stem cells, cell division and cell specialization; heredity, mutations and phenotypes. This course will feature bioengineering principles including shape, localization, timing and feedback in biological systems. Students also take the 1-credit Structural Biology of Cells Lab."
204,EN60141801,Operating Systems,"Similar material as EN.601.318, covered in more depth. Intended for advanced undergraduate students"
205,EN55310101,Freshman Experience in Applied Mathematics & Statistics,"The aim of this course is to provide students with an opportunity to work on a project in a small group setting together with an AMS faculty member.  Projects can be varied in nature depending on the faculty member working with a group.  The goal of a group could be to develop knowledge of a domain area in which mathematics is applied, to develop knowledge of some technique(s) in applied mathematics, to bring applied mathematics to bear on some application, or to develop knowledge in some foundational topic in mathematics.  Faculty will present possible topics to students in the first week of classes.  Students will be asked to rank their interests (first choice, second choice, etc.), and will provide their schedules. Based on their preferences, their schedules, and subject to group size limitations, students will be organized into groups of size at most 3, and will be assigned to course sections in the second week of classes. One faculty member will lead each section and will arrange to meet with the group once per week for an hour."
206,EN58023701,Neuro Data Design I,"In this year long course, students will work together in small teams to design, develop, and deploy a functioning tool for practicing brain scientists, either for accelerating research or augmenting the clinic. The first semester will focus on scoping the tool, including determining feasibility (for us in a year) and significance (for the targeted brain science community), as well as a statement of work specifying deliverables and milestones. The second semester will focus on developing the tool, getting regular feedback, and iterating, using the agile/lean development process. 
This version of Neuro Data Design is designed for students with less coding experience who wish to develop their writing skills."
207,EN58043101,Introduction to Computational Medicine: Imaging,"Computational medicine is an emerging discipline in which computer models of disease are developed, constrained using data measured from individual patients, and then applied to deliver precision health care. Introduction to Computational Medicine I is the first in a sequence of two courses on computational medicine. It covers the core concepts of computational physiological medicine and computational anatomy. The first half of this course will cover computational physiological medicine. Students will learn how to: use biophysical laws and data to formulate computational models of physiological systems in health and disease; analyze the behaviors of these models using analytical and simulation approaches; apply models to understand their use in diagnosing and treating disease. The second half of this course will cover computational anatomy. Students will learn how to: model anatomies using magnetic resonance imaging data; compare anatomies via mappings onto anatomical atlases; discover anatomical biomarkers of disease; analyze changes in the connectivity of anatomies in disease. Class time will emphasize hands-on learning through data analysis, software development, and simulation. All instructional materials will be made available at the beginning of the course. Recommended background: Calculus I-III, linear algebra, and ordinary differential equations. Proficiency in C++, Matlab or Python is required."
208,EN53033401,Heat Transfer,"Prereq: 530.231 and 530.327
Conduction in one, two, and three dimensions. External and internal forced convection, convection with change in phase. Performance and design of heat exchangers. Black-body radiation, Stefan-Boltzmann law. Computational modeling and experimental study of selected topics in conduction, convection, and radiation."
209,EN56025501,Dynamical Systems,"This course will introduce students to the modeling and analysis of dynamical systems using analytical, numerical and qualitative (geometric) techniques. The course will focus on dynamical systems arising in mechanics and vibrations, global climate and infectious disease modeling. The following topics will be covered: linear first and second order ODEs, analytical methods, Laplace and Fourier transforms, control systems, numerical integration, finite differences, nonlinear systems, phase plane analysis, stability, bifurcations, chaos."
210,EN53012401,Intro to Mechanics II,"This course offers an in-depth study of the fundamental elements of classical mechanics, statics, mechanics of materials, fluid mechanics, and thermodynamics. Part 2 of a year-long sequence. Restricted to Mechanical Engineering, Engineering Mechanics, Civil Engineering, Undecided Engineering Majors, or permission of instructor."
211,EN55336201,Introduction to Optimization II,"An introductory survey of optimization methods, supporting mathematical theory and concepts, and application to problems of planning, design, prediction, estimation, and control in engineering, management, and science.  Study of varied optimization techniques including linear programming, network-problem methods, dynamic programming, integer programming, and nonlinear programming.  Appropriate for undergraduate students and graduate students without the mathematical background required for EN.553.761."
